title,description,cuisine,course,prep,cook,serves,taste,difficulty,diet_tags,ingredients,method,adaptations,source
"Miso Chilli Roasted Tofu, Broccoli & Cashews (No Onion/Garlic)","Easy sheet-pan dinner: tofu, broccoli and cashews roasted in an umami-rich sesame, ginger and miso marinade. Adapted egg-free vegan style without onion or garlic; hing stands in for allium depth. Serve over noodles, steamed vegetables or a crunchy cabbage salad.",Fusion,Main Course,15 minutes,25-30 minutes,4,Umami & Spicy,Easy,vegan; vegetarian; egg-free,"400 g firm tofu, pressed and cubed | 1 large head broccoli, cut into florets | 75 g raw cashews | 2 tablespoons white or chickpea miso paste | 2 tablespoons tamari or soy sauce | 1 tablespoon toasted sesame oil | 1 tablespoon neutral oil | 1 tablespoon maple syrup | 1 tablespoon rice vinegar | 1 tablespoon grated fresh ginger | 1-2 teaspoons chilli flakes or chilli paste, to taste | 1 pinch hing (asafoetida) | 1 tablespoon sesame seeds (optional) | Fresh mint or coriander leaves, to finish (optional)","1. Heat the oven to 200°C / 400°F. Line a large baking tray. | 2. Warm the neutral oil briefly, bloom the hing in it for a few seconds, then whisk with miso, tamari, sesame oil, maple syrup, rice vinegar, ginger and chilli until smooth. | 3. Toss the tofu cubes in half the marinade and spread on the tray. | 4. Toss broccoli and cashews with the remaining marinade and arrange around the tofu in a single layer. | 5. Roast 25-30 minutes, turning once, until the tofu is golden at the edges and the broccoli is tender with charred tips. | 6. Scatter sesame seeds and herbs if using, and serve hot.",Reconstructed from Botanical Kitchen public recipe description (member-only full amounts were not publicly readable). Kept vegan and egg-free; no onion or garlic; hing (asafoetida) added for allium-free savoury depth.,https://www.botanicalkitchen.com/recipes/miso-chill-roasted-tofu-broccoli-cashews/
Bajra Risotto,Healthy version of risotto – bajra is a good replacement for Arborio rice since it has a similar bite,Fusion  Course:,Main,10-15 hours,16-20 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,"1 1/ | 2 cups pearl millet (bajra), soaked for | 2 hours, drained and cooked with v | 1 tablespoon olive oil | 1 pinch hing (asafoetida) | 2 tablespoons butter 1/ | 1 cup white wine 3- | 0 grams parmesan cheese | 2 1/ | 2 tablespoons fresh cream Red chilli flakes to sprinkle Fresh parsley leaves to garnish","1. Heat olive oil in a non-stick pan, add butter and let it melt, then add a pinch of hing. | 2. Finely chop and add to the pan, sauté till translucent. | 3. Add and sauté well for 2 minutes. | 4. Add white wine, mix well and cook for 2-3 minutes. | 5. Add cooked bajra and mix well. | 6. Cook for 2-3 minutes. | 7. Add thyme sprigs and crushed black peppercorns and mix well. | 8. Grate parmesan cheese into the risotto and add fresh cream and mix well. | 9. Cook for 1-2 minutes. | 10. Transfer into a serving bowl, sprinkle chilli flakes and crushed black peppercorns. | 11. Garnish with parsley and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Baked Chocolate Apple,"Apples hollowed out, stuffed with fresh coconut and jaggery mixture, baked and served sprinkled with chocolate chips",Fusion  Course:,Desserts,21-25 minutes,26-30 minutes,4,Sweet,Moderate,vegan; vegetarian; egg-free,4 medium Red apples to garnish Chocolate chips to sprinkle Sea salt,"1. Preheat oven to 160º C. | 2. Slice the top and bottom of the apples and scoop out the flesh. | 3. Sprinkle sea salt and rub it uniformly inside the hollowed apples and place them on a baking tray. | 4. Chop the flesh. | 5. Heat a non-stick pan, add the chopped apple flesh and sauté till lightly cooked. | 6. Add coconut, mixed nuts and jaggery and mix well. | 7. Cook on low heat till jaggery melts. | 8. Switch off heat. | 9. Add green cardamom powder and cinnamon powder and mix well. | 10. Wipe the apples from inside with a tissue if they are moist from inside. | 11. Fill the nut mixture into each cored apple. | 12. Break half the caramel bars into small pieces and place on top, drizzle some rabdi. | 13. Repeat the process once more. | 14. Place the tray in the preheated oven and bake for 12-15 minutes. | 15. Spread remaining stuffing in deep serving plate and place the baked apples over it. | 16. Garnish with rabdi, chocolate chips and mixed nuts and serve immediately.",Egg-free.,vegetarian-recipes.txt
Banana Walnut Chocolate Ice Cream,"The combination of ripe bananas, walnuts and chocolate make for a super delicious ice cream that will win many a heart",Fusion  Course:,Desserts,10-15 hour,0-5 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"3 medium Ripe bananas, peeled and frozen 3/ | 4 cup Walnuts | 4 tablespoons Unsweetened cocoa powder 1/ | 2 cup Fresh cream | 3 tablespoons Honey | 1 teaspoon Vanilla essence to garnish Ripe banana, peeled and coated with melted dark chocolate clove Sugar fondant to garnish Walnuts, crushed","1. Cut each banana into 3 pieces and put in a grinder jar. | 2. Add cocoa powder, cream, honey, walnuts and vanilla essence and grind into a smooth mixture. | 3. Pour this mixture into an air tight container and put the lid on. | 4. Keep it in the freezer for 6-8 hours or overnight. | 5. Once set take the ice cream out of the freezer. | 6. Dip ice cream scooper in warm water and then scoop out 5 scoops of ice cream into a serving bowl. | 7. Skew the banana coated with melted dark chocolate onto a skewer and place it on the rim of the bowl. | 8. Use sugar fondant to create eyes and nose of a penguin. | 9. Garnish with crushed walnuts and serve immediately.",Egg-free.,vegetarian-recipes.txt
Barley Risotto,"Barley replaces Arborio rice in this risotto and the result is very tasty. Barley cooked with garlic , assorted mushrooms and served.",Fusion  Course:,Main,8-10 hours,21-25 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,"1 1/ | 2 cups barley (jau), soaked for | 8 hours and cooked | 1 tablespoon olive oil | 1 pinch hing (asafoetida) | 1 tablespoon butter 6- | 5 button mushrooms | 1 cup white wine 7- | 2 cup fresh cream","1. Heat olive oil and butter in a deep non-stick till butter melts, then add a pinch of hing. | 2. Add and sauté well. | 3. Add mix well and saute till translucent. | 4. Quarter button mushrooms and add to the mixture. | 5. Add white wine, mix well and cook for 1-2 minutes. | 6. Add shitake mushrooms and mix well. | 7. Cover and cook for 4-6 minutes. | 8. Add cooked barley and mix well. | 9. Add salt. | 10. Grate processed cheese directly into the barley mixture and mix well. | 11. Add crushed black peppercorns, mix well and cook for 1-2 minutes. | 12. Add fresh cream and mix well. | 13. Cook for 1 minute and take the pan off the heat. | 14. Transfer into a serving bowl, sprinkle crushed black peppercorns and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Batata Puri,"Call them batata puri or sabudana vada, they are just as delicious",Indian  Course:,Breads,8-10 hour,11-15 minutes,4,Mild,Moderate,vegan; vegetarian; egg-free,"4 Medium potatoes medium, boiled and peeled | 1 cup Sago (sabudana) soaked 1/ | 2 cup Roasted peanuts crushed | 2 tablespoons Fresh coriander leaves chopped | 1 tablespoon Ginger-green chilli paste 1/ | 2 tablespoon Lemon juice | 2 Banana leaves cut into medium squares to deep-fry Oil to serve Coconut chutney","1. Take sago in a bowl add sago, add peanuts, coriander leaves, sugar, rock salt, ginger green chilli paste and lemon juice. | 2. Mash and add potatoes and mix well. | 3. Heat sufficient oil in a kadai. | 4. Divide the mixture into equal portions. | 5. Place a banana leaf square on the worktop, apply little oil on it, place a portion of potato mixture, gently press and flatten slightly. | 6. Slide into hot oil and deep-fry, turning sides, till golden brown on both sides. | 7. Drain on absorbent paper. | 8. Arrange the puris on a serving plate and serve hot with coconut chutney.",Egg-free.,vegetarian-recipes.txt
Bathue ka Parantha,"Bathua leaves kneaded with whole wheat flour, rolled into paranthas and cooked",Indian  Course:,Breads,26-30 minutes,21-25 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"1 pinch hing (asafoetida) | 2 medium bunches Bathua leaves, cleaned | 1 1/ | 2 cups for dusting Whole wheat flour | 1 teaspoon Carom seeds (ajwain) 2- | 3 Green chillies, finely chopped | 1 tablespoon Ginger, finely chopped 1/ | 2 tsp + to sprinkle Red chilli powder 1/ | 2 teaspoon Turmeric powder","1. Roughly chop bathua leaves and transfer into a bowl. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add carom seeds, green chillies, ginger, red chilli powder, turmeric powder, wheat flour and and mix well. | 4. Add water as required and knead to a soft dough. | 5. Divide the dough into equal portions and roll out into large rotis on a dusted worktop. | 6. Apply some ghee on the rotis, dust some flour and sprinkle chilli powder and chaat masala on top. | 7. Fold into a square and roll out into paranthas. | 8. Heat a non-stick tawa. | 9. Place the parathas on it, one at a time, and cook, basting with ghee, till evenly golden brown on both the sides. | 10. Place them on individual serving plates and serve hot with white butter, yogurt and pickle of your choice.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Beetroot Browines,These extremely healthy and dark pink brownies are simply irresistible,Fusion  Course:,Desserts,31-40 minutes,21-25 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup Boiled beetroot puree for greasing Butter | 3 tablespoons Flax seed (alsi) powder | 1 Ripe banana, roasted 3/ | 4 cup Honey 3/ | 4 cup Coconut oil | 1 cup Rice flour 3/ | 4 cup Cocoa powder | 1 pinch Salt | 1 teaspoon Baking powder 1/ | 2 cup Walnuts, chopped","1. Preheat oven to 200º C. | 2. Grease a square baking tin with butter and line it with butter paper. | 3. Take flax seed powder in a large bowl, add 9 tablespoons water and mix well, set aside for 5 minutes. | 4. Peel the roasted banana and mash it with a fork. | 5. Add the banana to the flax seed mixture. | 6. Add beetroot puree and mix well. | 7. Add honey and coconut oil and whisk till well combined. | 8. Sift rice flour into the beetroot mixture and fold in gently. | 9. Sift cocoa powder into the beetroot mixture and fold in again. | 10. Add salt, baking powder and walnuts and mix well. | 11. Pour the batter into the prepared cake tin, keep it in the preheated oven and bake for 20-25 minutes. | 12. Remove the tin from the oven and let it cool. | 13. Cut it into squares and pack it in the tiffin.",Egg-free.,vegetarian-recipes.txt
Beetroot Coconut Barfi,These beautiful ruby red barfis are so tasty that they will get consumed in a jiffy,Maharashtrian  Course:,Mithais,21-25 minutes,26-30 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 medium Beetroot, peeled and grated | 2 cups Fresh coconut, scraped | 1 tbsp _ for greasing Ghee | 1 cup Sugar 1/ | 2 cup Fresh cream to garnish Walnuts | 3 tablespoons Powdered sugar 1/ | 2 teaspoon Green cardamom powder","1. Grease a barfi tray with some ghee. | 2. Heat ghee in a deep non-stick pan, add sugar, coconut and cream and mix well. | 3. Cook on medium heat, stirring continuously, for 15-20 minutes. | 4. Meanwhile roughly chop walnuts. | 5. When mixture begins to leave the pan, add the beetroot and mix well. | 6. Add powdered sugar and green cardamom powder, mix well and cook on medium heat for 2-3 minutes. | 7. Transfer the barfi mixture in the greased tray and spread it evenly. | 8. Sprinkle walnuts on top. | 9. Set aside till set and cooled down to room temperature. | 10. Cut into rectangular barfis. | 11. Insert a coloured ice cream stick in each barfi, arrange them on a serving platter and serve immediately.",Egg-free.,vegetarian-recipes.txt
Beetroot Quinoa Pachadi,Popular South Indian accompaniment made with all super foods. Watch this video to find out how to make this recipe. This is,South Indian,Accompaniments,,10-15 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,"4 tablespoons beetroot puree ¼ cup quinoa | 1 teaspoons oil ¼ cup scraped fresh coconut | 1 green chillies, finely chopped ½ inch ginger, finely chopped | 2 dried red chillies ½ teaspoon mustard seeds 4- | 5 curry leaves","1. Heat a small deep non-stick pan. | 2. Add quinoa, 1 cup water and salt and mix. | 3. Add 1 teaspoon oil, mix and bring the mixture to boil. | 4. Cover and cook till quinoa is done. | 5. Transfer in a bowl and refrigerate it. | 6. Coarsely grind together coconut, green chillies and ginger. | 7. Take yogurt in another bowl and whisk. | 8. Add ground coconut mixture and whisk. | 9. Add beetroot puree and whisk well. | 10. Add salt to yogurt mixture and whisk. | 11. Add cooked quinoa and whisk well. | 12. Transfer on a shallow serving plate. | 13. To prepare tempering, heat remaining oil in a tempering pan. | 14. Roughly cut dried red chillies using a pair of scissors. | 15. Add mustard seeds to hot oil and let it sputter. | 16. Add curry leaves and let it crackle. | 17. Add dried red chillies and swirl the pan for few seconds. | 18. Pour the tempering over the beetroot yogurt mixture and serve.",Egg-free.,vegetarian-recipes.txt
Bhakri Pizza,"A creative fusion dish that combines the rustic charm of traditional Indian bhakri with the flavorful toppings of a classic pizza, offering a unique culinary experience.",Fusion  Course:,Snacks and Starters,21-25 minutes,16-20 minutes,4,Mild,Moderate,vegetarian; egg-free; lacto-vegetarian,"Readymade pearl millet (bajra) dough Pearl millet (bajra) flour for dusting | 1 teaspoon oil ½ teaspoon cumin seeds | 1 pinch hing (asafoetida) | 1 medium red capsicum, cut into triangles | 1 medium green capsicum, cut into triangles ½ cup boiled corn kernels Cheese sauce as required Halved black olives for garnish Black olive slices for garnish","1. To prepare pizza sauce, heat oil in a non-stick pan, add cumin seeds and and mix well, then add a pinch of hing. | 2. Add mix and sauté till translucent. | 3. Add tomato puree, turmeric powder, red chilli powder and salt and mix well. | 4. Sauté till oil separates. | 5. Sprinkle bajra flour on worktop, keep the dough on it and roll into a thick disc. | 6. Heat a non-stick tawa and place the disc on it and cook for 3-4 minutes. | 7. Flip and cook on other side till golden brown specs appear. | 8. While the bhakri is still on the pan, spread a spoonful of pizza sauce on it, sprinkle mozzarella cheese in the centre, sprinkle red and green capsicum triangles, boiled corn kernels on top. | 9. Cover and cook on low heat till cheese melts completely. | 10. Transfer the pizza on a serving plate. | 11. Put cheese sauce in a piping bag and pipe out cheese sauce on top of pizza in the shape of spider web. | 12. Place a halved black olive in centre. | 13. Place 6 halved olives around. | 14. Now place black olive slices as legs of the spider. | 15. Serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Bhakri with Thecha,Typical rural meal of Maharashtra – it is so very tasty that you will want to eat it again and again,Maharashtrian  Course:,Breads,21-25 minutes,31-40 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,3 tablespoons Oil 10- | 1 pinch hing (asafoetida) | 2 Dark green chillies 10- | 4 cup Roasted peanuts,"1. To make bhakri, heat sufficient water in an earthen pot, and let it come to a boil, then add a pinch of hing. | 2. Take ragi flour in a large bowl, add salt and mix well. | 3. Pour the hot water little at a time, mix well till it forms soft dough. | 4. Divide the dough into equal portions and shape each into a ball. | 5. Dust each ball with ragi flour, flatten it and roll into a thin disc. | 6. Heat an earthen tawa, place the discs on it, one at a time, and cook, turning sides, till small brown specks appear on both sides. | 7. Take it off the heat and keep under a muslin cloth. | 8. To make thecha, heat oil in another earthen pot, add dark green chillies, light green chillies and sea salt and sauté well. | 9. Cover and cook for 12-15 minutes, stirring occasionally. | 10. Remove the lid and add roasted peanuts, adjust salt and sauté well. | 11. Cook for 2-3 minutes and take it off the heat. | 12. Cool the mixture, transfer into a mortar pestle and pound it coarsely. | 13. Arrange the bhakris on a serving platter and transfer thecha into a bowl and serve the two together.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
